0.0 536
1.98229 1072
3.30232 1608
4.62435 2144
4.82907 2680
5.95067 3216
6.14419 3752
6.34891 4288
7.14955 4824
7.32419 5360
7.34307 5896
7.60739 6432
8.31067 6968
8.50891 7504
8.52779 8040
8.55139 8576
8.76083 9112
8.85347 9648
9.06763 10184
9.50955 10720
9.71899 11256
9.75027 11792
9.77387 12328
9.79747 12864
9.82579 13400
10.0352 13936
10.0476 14472
10.1987 15008
10.3544 15544
10.5686 16080
10.7651 16616
10.9745 17152
10.9964 17688
11.0341 18224
11.0719 18760
11.0908 19296
11.1332 19832
11.1663 20368
11.1757 20904
11.374 21440
11.44 21976
11.5156 22512
11.525 23048
11.676 23584
11.8808 24120
11.8884 24656
12.0395 25192
12.2047 25728
12.2188 26264
12.2283 26800
12.2708 27336
12.3085 27872
12.3227 28408
12.3321 28944
12.3793 29480
12.3935 30016
12.4265 30552
12.4454 31088
12.4596 31624
12.7003 32160
12.7475 32696
12.7711 33232
12.8466 33768
12.9032 34304
12.9127 34840
12.9976 35376
13.1534 35912
13.1676 36448
13.1817 36984
13.2856 37520
13.4083 38056
13.4272 38592
13.446 39128
13.4602 39664
13.4791 40200
13.5263 40736
13.564 41272
13.5782 41808
13.5924 42344
13.6065 42880
13.6254 43416
13.6537 43952
13.6726 44488
13.6868 45024
13.7528 45560
13.8095 46096
13.8567 46632
13.918 47168
14.0313 47704
14.0408 48240
14.1068 48776
14.1682 49312
14.2204 49848
14.2298 49848
14.2298 24388
17.4198 24388
17.4198 536
18.4358 1072
19.6772 1608
19.6866 2144
20.9374 2680
20.9516 3216
20.961 3752
20.9655 4288
22.2349 4824
22.2491 5360
22.3008 5896
22.3857 6432
22.5904 6968
23.5138 7504
23.5421 8040
23.6082 8576
23.646 9112
23.7262 9648
23.9056 10184
24.1103 10720
24.7882 11256
24.8024 11792
24.8212 12328
24.8212 12351
24.9062 12374
24.9487 12397
24.9676 12420
25.0525 12443
25.2319 12466
25.2413 12489
25.4301 12512
26.0815 12534
26.1004 12556
26.1192 12578
26.1428 12600
26.2231 12622
26.275 12644
26.3364 12666
26.3977 12688
26.5488 12710
26.5582 12732
26.747 12754
26.9517 12776
27.4031 12798
27.5211 12820
27.54 12842
27.5636 12864
27.6296 12886
27.6768 12908
27.7524 12930
27.7712 12952
27.8704 12974
27.9459 12996
28.0686 13018
28.4668 13040
28.72 13062
28.8144 13083
28.8427 13104
28.8757 13125
28.9465 13146
29.0173 13167
29.0787 13188
29.1589 13209
29.1967 13230
29.2675 13251
29.3902 13272
29.5949 13293
29.9914 13314
30.0038 13335
30.1076 13356
30.1265 13377
30.1643 13398
30.2492 13419
30.3153 13440
30.4192 13461
30.4758 13482
30.5183 13503
30.6221 13524
30.7165 13545
31.11 13566
31.3112 13587
31.4245 13608
31.4434 13629
31.5331 13650
31.5708 13671
31.6322 13692
31.67 13712
31.7408 13732
31.7974 13752
31.8635 13772
31.9437 13792
32.0476 13812
32.5998 13832
32.7131 13852
32.7414 13872
32.8358 13892
32.883 13912
32.9491 13932
32.9916 13952
33.0576 13972
33.1237 13992
33.1851 14012
33.2606 14032
33.3644 14052
33.5692 14072
33.9261 14092
34.0347 14112
34.1574 14132
34.1668 14152
34.2329 14172
34.2754 14192
34.3179 14212
34.3698 14232
34.4264 14252
34.4925 14272
34.568 14292
34.6813 14312
34.8796 14332
35.2336 14352
35.3327 14372
35.446 14391
35.4554 14410
35.5356 14429
35.5923 14448
35.6489 14467
35.7339 14486
35.748 14505
35.8141 14524
35.8896 14543
36.0218 14562
36.2012 14581
36.5599 14600
36.6543 14619
36.7534 14638
36.7723 14657
36.8289 14676
36.8808 14695
36.928 14714
37.0177 14733
37.0366 14752
37.1216 14771
37.2018 14790
37.3387 14809
37.5228 14828
37.7275 14847
37.8768 14866
37.9664 14885
38.0797 14904
38.0986 14923
38.1458 14942
38.2024 14961
38.2544 14980
38.3393 14999
38.4479 15018
38.4573 15037
38.5234 15056
38.6603 15075
38.8444 15094
39.1936 15113
39.2833 15132
39.3966 15150
39.4485 15168
39.5429 15186
39.5948 15204
39.6845 15222
39.694 15240
39.7648 15258
39.7742 15276
39.8308 15294
39.845 15312
39.9819 15330
40.166 15348
40.5152 15366
40.6049 15384
40.7182 15402
40.7796 15420
40.8645 15438
40.9117 15456
41.0156 15474
41.0486 15492
41.1383 15510
41.1855 15528
41.1949 15546
41.2563 15564
41.3035 15582
41.4876 15600
41.8416 15618
41.9265 15636
42.0398 15654
42.1012 15672
42.1861 15690
42.29 15708
42.3419 15726
42.3796 15744
42.4693 15762
42.4976 15780
42.5212 15798
42.5732 15816
42.6392 15834
42.8044 15852
43.0092 15870
43.1632 15888
43.2481 15906
43.3614 15924
43.4322 15942
43.5408 15960
43.5974 15978
43.6304 15995
43.6729 16012
43.7484 16029
43.7909 16046
43.8192 16063
43.8664 16080
43.942 16097
44.1024 16114
44.4612 16131
44.5603 16148
44.6641 16165
44.7349 16182
44.834 16199
44.9096 16216
44.9379 16233
44.9851 16250
45.0606 16267
45.1078 16284
45.1503 16301
45.2258 16318
45.3108 16335
45.3296 16352
45.424 16369
45.7828 16386
45.8866 16403
45.9857 16420
46.0612 16437
46.1556 16454
46.2312 16471
46.3539 16488
46.3728 16505
46.4152 16522
46.4955 16539
46.5616 16556
46.656 16573
46.6654 16590
46.722 16607
46.8023 16624
47.1044 16641
47.2082 16658
47.3073 16675
47.3828 16692
47.4772 16709
47.5528 16726
47.666 16743
47.6849 16760
47.7132 16777
47.7888 16794
47.836 16811
47.9304 16828
47.954 16845
